Ti	Y(Ti)	Wi	|Y(Ti) - Wi| (erro)
0,0000	1,0000	1,0000	0,0000
0,1000	1,1142	1,1144	0,0002
0,2000	1,2529	1,2535	0,0005
0,3000	1,4085	1,4094	0,0009
0,4000	1,5712	1,5726	0,0014
0,5000	1,7305	1,7324	0,0019
0,6000	1,8751	1,8774	0,0023
0,7000	1,9943	1,9970	0,0027
0,8000	2,0789	2,0819	0,0030
0,9000	2,1216	2,1248	0,0032
1,0000	2,1180	2,1212	0,0033
h = 0,1000
