Ti	Y(Ti)	Wi	|Y(Ti) - Wi| (erro)
0,0000	1,0000	1,0000	0,0000
0,1000	1,1142	1,1000	0,0142
0,2000	1,2529	1,2276	0,0254
0,3000	1,4085	1,3761	0,0323
0,4000	1,5712	1,5370	0,0342
0,5000	1,7305	1,6999	0,0306
0,6000	1,8751	1,8536	0,0214
0,7000	1,9943	1,9873	0,0071
0,8000	2,0789	2,0906	0,0117
0,9000	2,1216	2,1552	0,0336
1,0000	2,1180	2,1752	0,0573
h = 0,1000
