Ti	X(Ti)	Y(Ti)
1,1235	-0,2335	0,2581
1,1291	-0,2321	0,2839
1,1348	-0,2305	0,3095
1,1405	-0,2287	0,3349
1,1461	-0,2268	0,3601
1,1518	-0,2248	0,3852
1,1575	-0,2226	0,4100
1,1632	-0,2203	0,4346
1,1688	-0,2178	0,4589
1,1745	-0,2152	0,4829
1,1802	-0,2125	0,5067
1,1859	-0,2096	0,5302
1,1915	-0,2066	0,5534
1,1972	-0,2034	0,5762
1,2029	-0,2002	0,5987
1,2086	-0,1968	0,6208
1,2142	-0,1932	0,6426
1,2199	-0,1896	0,6640
1,2256	-0,1858	0,6849
1,2313	-0,1819	0,7055
1,2369	-0,1779	0,7256
1,2426	-0,1738	0,7453
1,2483	-0,1696	0,7646
1,2540	-0,1653	0,7834
1,2596	-0,1608	0,8017
1,2653	-0,1563	0,8195
1,2710	-0,1516	0,8369
1,2767	-0,1469	0,8537
1,2823	-0,1420	0,8700
1,2880	-0,1371	0,8857
1,2937	-0,1321	0,9009
1,2993	-0,1269	0,9156
1,3050	-0,1217	0,9297
1,3107	-0,1165	0,9432
1,3164	-0,1111	0,9561
1,3220	-0,1057	0,9685
1,3277	-0,1002	0,9802
1,3334	-0,0946	0,9914
1,3391	-0,0890	1,0019
1,3447	-0,0833	1,0118
1,3504	-0,0776	1,0210
1,3561	-0,0718	1,0297
1,3618	-0,0660	1,0377
1,3674	-0,0601	1,0450
1,3731	-0,0541	1,0517
1,3788	-0,0482	1,0577
1,3845	-0,0422	1,0631
1,3901	-0,0361	1,0678
1,3958	-0,0301	1,0718
1,4015	-0,0240	1,0751
1,4072	-0,0179	1,0778
1,4128	-0,0118	1,0798
1,4185	-0,0057	1,0811
h = 0,0057
Dados:
Intervalo: 0,00 a 1,42	N=250,00	Comprimento do fio: 0,50	X(0,00)=0,0000	Y(0,00)=1,0000
