Ti	Y(Ti)	Wi	|Y(Ti) - Wi| (erro)
0,0000	1,0000	1,0000	0,0000
0,1000	1,1142	1,1142	0,0000
0,2000	1,2529	1,2529	0,0000
0,3000	1,4085	1,4084	0,0000
0,4000	1,5712	1,5712	0,0000
0,5000	1,7305	1,7305	0,0000
0,6000	1,8751	1,8751	0,0000
0,7000	1,9943	1,9943	0,0000
0,8000	2,0789	2,0789	0,0000
0,9000	2,1216	2,1216	0,0000
1,0000	2,1180	2,1179	0,0001
h = 0,1000
