Ti	Y(Ti)	Wi	|Y(Ti) - Wi| (erro)
0,0000	1,0000	1,0000	0,0000
0,1000	1,1142	1,1138	0,0004
0,2000	1,2529	1,2518	0,0011
0,3000	1,4085	1,4066	0,0019
0,4000	1,5712	1,5684	0,0028
0,5000	1,7305	1,7268	0,0037
0,6000	1,8751	1,8705	0,0046
0,7000	1,9943	1,9889	0,0054
0,8000	2,0789	2,0729	0,0060
0,9000	2,1216	2,1152	0,0064
1,0000	2,1180	2,1115	0,0065
h = 0,1000
